型 號：,S0300T,證書號碼：,101601續2,合約有效期限：,2016/11/29 - 2018/11/28,廠牌名稱：,奇美(CHIMEI),待機電力實測值(W)：,0.78,能源效率實測值(cfm/W)：,2.1,
型 號：,RHM-C0800T,證書號碼：,102243續2,合約有效期限：,2017/06/06 - 2019/06/05,廠牌名稱：,奇美(CHIMEI),尺寸(mm)：,寬320×高525×深189,實測除濕能力(L/day)：,8.12,EF實測值(L/kWh)：,1.92,水箱容量(L)：,3.3,重量(kg)：,10.4,標示能源因數值(EF)(L/(度/月))：,,年耗電量(度/年)：,,效率分級：,3,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RHM-C0600T,證書號碼：,102243續2,合約有效期限：,2017/06/06 - 2019/06/05,廠牌名稱：,奇美(CHIMEI),尺寸(mm)：,寬320×高525×深189,實測除濕能力(L/day)：,5.88,EF實測值(L/kWh)：,1.62,水箱容量(L)：,3.3,重量(kg)：,9.5,標示能源因數值(EF)(L/(度/月))：,,年耗電量(度/年)：,,效率分級：,3,能源效率分級標示圖檔：,圖片點此連結,
型 號：,DF-14B0ST,證書號碼：,103032續1,合約有效期限：,2016/02/13 - 2018/02/12,廠牌名稱：,CHIMEI,尺寸(cm)：,35,形式：,立地電扇,消耗電力(W)：,18.7 W,總風量(m3/min)：,53.19,能源效率值(m3/min/W)：,2.78,
型 號：,DF-14A0ST,證書號碼：,103032續1,合約有效期限：,2016/02/13 - 2018/02/12,廠牌名稱：,CHIMEI,尺寸(cm)：,35,形式：,立地電扇,消耗電力(W)：,19.5 W,總風量(m3/min)：,65.81,能源效率值(m3/min/W)：,3.32,
型 號：,DF-14B1ST,證書號碼：,103032續1,合約有效期限：,2016/02/13 - 2018/02/12,廠牌名稱：,CHIMEI,尺寸(cm)：,35,形式：,立地電扇,消耗電力(W)：,19.5 W,總風量(m3/min)：,65.81,能源效率值(m3/min/W)：,3.32,
型 號：,DF-16A0ST,證書號碼：,103032續1,合約有效期限：,2016/02/13 - 2018/02/12,廠牌名稱：,CHIMEI,尺寸(cm)：,40,形式：,立地電扇,消耗電力(W)：,26.2 W,總風量(m3/min)：,76.45,能源效率值(m3/min/W)：,2.86,
型 號：,DF-16B0ST,證書號碼：,103032續1,合約有效期限：,2016/02/13 - 2018/02/12,廠牌名稱：,CHIMEI,尺寸(cm)：,40,形式：,立地電扇,消耗電力(W)：,26.2 W,總風量(m3/min)：,76.45,能源效率值(m3/min/W)：,2.86,
型 號：,DF-14A0SM,證書號碼：,103118續1,合約有效期限：,2016/04/24 - 2018/04/23,廠牌名稱：,CHIMEI,尺寸(cm)：,35,形式：,立地電扇,消耗電力(W)：,21.9 W,總風量(m3/min)：,59.63,能源效率值(m3/min/W)：,2.69,
型 號：,DF-14A0SS,證書號碼：,103190續1,合約有效期限：,2016/06/05 - 2018/06/04,廠牌名稱：,CHIMEI,尺寸(cm)：,35,形式：,立地電扇,消耗電力(W)：,25.4 W,總風量(m3/min)：,67.55,能源效率值(m3/min/W)：,2.62,
型 號：,RC-S34HWM(室外機)/RB-S34HWM(室內機),證書號碼：,103264續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬823×高300×深244,室外機尺寸（mm）：,寬875×高575×深320,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,3.4(kW),標示能源效率比(EER)：,4.17,適用坪數：,5~8 坪,年耗電量：,978,標示能源效率比值EER：,4.17,年耗電量(度/年)：,978,效率分級：,1,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S41HWM(室外機)/RB-S41HWM(室內機),證書號碼：,103264續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬823×高300×深244,室外機尺寸（mm）：,寬875×高575×深320,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,4.1(kW),標示能源效率比(EER)：,3.87,適用坪數：,7~10 坪,年耗電量：,1271,標示能源效率比值EER：,3.87,年耗電量(度/年)：,1271,效率分級：,1,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S50HWM(室外機)/RB-S50HWM(室內機),證書號碼：,103264續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬1150×高300×深260,室外機尺寸（mm）：,寬875×高700×深320,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,5.0(kW),標示能源效率比(EER)：,3.87,適用坪數：,8~11 坪,年耗電量：,1550,標示能源效率比值EER：,3.87,年耗電量(度/年)：,1550,效率分級：,1,能源效率分級標示圖檔：,圖片點此連結,
